[2017-12-22 14:35:14,513]-[log.py]-INFO:输入用户名
[2017-12-22 14:39:12,680]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:43:28,571]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:43:34,375]-[log.py]-INFO:右击
[2017-12-22 14:44:11,658]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:44:23,660]-[log.py]-INFO:双击
[2017-12-22 14:44:29,188]-[log.py]-INFO:拖拽
[2017-12-22 14:47:06,192]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:47:11,699]-[log.py]-INFO:右击
[2017-12-22 14:48:59,772]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:49:05,077]-[log.py]-INFO:双击
[2017-12-22 14:49:10,465]-[log.py]-INFO:拖拽
[2017-12-22 14:49:16,006]-[log.py]-INFO:右击
[2017-12-22 14:51:42,288]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:51:47,960]-[log.py]-INFO:双击
[2017-12-22 14:51:53,329]-[log.py]-INFO:拖拽
[2017-12-22 14:51:58,873]-[log.py]-INFO:右击
[2017-12-22 14:56:09,111]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:56:14,556]-[log.py]-INFO:双击
[2017-12-22 14:56:20,053]-[log.py]-INFO:拖拽
[2017-12-22 14:56:25,658]-[log.py]-INFO:右击
[2017-12-22 14:57:07,322]-[log.py]-INFO:鼠标悬停
[2017-12-22 14:57:12,692]-[log.py]-INFO:双击
[2017-12-22 14:57:18,048]-[log.py]-INFO:拖拽
[2017-12-22 14:57:23,696]-[log.py]-INFO:右击
[2017-12-22 15:06:37,756]-[log.py]-INFO:拖拽
[2017-12-22 15:07:36,884]-[log.py]-INFO:右击
[2017-12-22 15:08:17,622]-[log.py]-INFO:右击
[2017-12-22 15:08:17,623]-[log.py]-INFO:拖拽
[2017-12-22 15:14:12,756]-[log.py]-INFO:右击
[2017-12-22 15:14:12,757]-[log.py]-INFO:拖拽
[2017-12-22 15:15:21,578]-[log.py]-INFO:拖拽
[2017-12-22 16:00:03,546]-[log.py]-INFO:拖拽
