[2017-11-26 17:45:21,828]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:22,288]-[log.py]-INFO:输入密码
[2017-11-26 17:45:22,373]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:24,506]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:24,603]-[log.py]-INFO:输入密码
[2017-11-26 17:45:24,659]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:26,692]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:27,864]-[log.py]-INFO:输入密码
[2017-11-26 17:45:27,954]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:29,990]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:30,061]-[log.py]-INFO:输入密码
[2017-11-26 17:45:30,122]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:32,175]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:32,230]-[log.py]-INFO:输入密码
[2017-11-26 17:45:32,319]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:34,387]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:34,475]-[log.py]-INFO:输入密码
[2017-11-26 17:45:34,547]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:36,594]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:36,667]-[log.py]-INFO:输入密码
[2017-11-26 17:45:36,737]-[log.py]-INFO:登录然之协同
[2017-11-26 17:45:38,820]-[log.py]-INFO:输入用户名
[2017-11-26 17:45:38,903]-[log.py]-INFO:输入密码
[2017-11-26 17:45:38,959]-[log.py]-INFO:登录然之协同
[2017-11-26 17:49:49,762]-[log.py]-INFO:点击后台管理
[2017-11-26 17:49:49,949]-[log.py]-INFO:点击组织
[2017-11-26 17:49:52,041]-[log.py]-INFO:点击添加成员
[2017-11-26 17:49:52,766]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:49:53,282]-[log.py]-INFO:选择性别
[2017-11-26 17:49:53,284]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:49:53,431]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:49:53,598]-[log.py]-INFO:点击保存
[2017-11-26 17:49:54,662]-[log.py]-INFO:获取url
[2017-11-26 17:49:55,748]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:49:55,768]-[log.py]-INFO:获取姓名错误提示文本
